,redshift,Xe
416,5840.0,1.1055854246
417,5830.0,1.10446865547
418,5820.0,1.10337420879
419,5810.0,1.10230362227
420,5800.0,1.1012582898
421,5790.0,1.10023945619
422,5780.0,1.09924821365
423,5770.0,1.09828550008
424,5760.0,1.0973520991
425,5750.0,1.09644864157
426,5740.0,1.09557560871
427,5730.0,1.09473333655
428,5720.0,1.09392202152
429,5710.0,1.09314172717
430,5700.0,1.09239239171
431,5690.0,1.09167383621
432,5680.0,1.09098577348
433,5670.0,1.09032781709
434,5660.0,1.08969949086
435,5650.0,1.08910023823
436,5640.0,1.08852943165
437,5630.0,1.08798638186
438,5620.0,1.08747034678
439,5610.0,1.0869805402
440,5600.0,1.08651613989
441,5590.0,1.08607629541
442,5580.0,1.08566013527
443,5570.0,1.08526677365
444,5560.0,1.08489531652
445,5550.0,1.08454486719
446,5540.0,1.08421453139
447,5530.0,1.08390342168
448,5520.0,1.08361066147
449,5510.0,1.08333538842
450,5500.0,1.08307675743
451,5490.0,1.08283394319
452,5480.0,1.08260614224
453,5470.0,1.08239257473
454,5460.0,1.0821924858
455,5450.0,1.08200514654
456,5440.0,1.08182985487
457,5430.0,1.08166593594
458,5420.0,1.08151274242
459,5410.0,1.08136965459
460,5400.0,1.08123608017
461,5390.0,1.0811114541
462,5380.0,1.08099523809
463,5370.0,1.08088692017
464,5360.0,1.08078601401
465,5350.0,1.08069205827
466,5340.0,1.08060461587
467,5330.0,1.08052327319
468,5320.0,1.08044763922
469,5310.0,1.08037734475
470,5300.0,1.08031204145
471,5290.0,1.08025140107
472,5280.0,1.08019511447
473,5270.0,1.08014289085
474,5260.0,1.08009445682
475,5250.0,1.08004955556
476,5240.0,1.08000794605
477,5230.0,1.07996940218
478,5220.0,1.07993371206
479,5210.0,1.07990067717
480,5200.0,1.07987011171
481,5190.0,1.07984184184
482,5180.0,1.07981570501
483,5170.0,1.07979154935
484,5160.0,1.07976923302
485,5150.0,1.07974862361
486,5140.0,1.0797295976
487,5130.0,1.07971203981
488,5120.0,1.07969584287
489,5110.0,1.0796809068
490,5100.0,1.07966713847
491,5090.0,1.07965445121
492,5080.0,1.07964276441
493,5070.0,1.07963200311
494,5060.0,1.07962209763
495,5050.0,1.07961298323
496,5040.0,1.0796045998
497,5030.0,1.07959689154
498,5020.0,1.07958980667
499,5010.0,1.07958329718
500,5000.0,1.07951338565
501,4990.0,1.07951338565
502,4980.0,1.07951338565
503,4970.0,1.07951338565
504,4960.0,1.07951338565
505,4950.0,1.07951338565
506,4940.0,1.07951338565
507,4930.0,1.07951338565
508,4920.0,1.07951338565
509,4910.0,1.07951338565
510,4900.0,1.07951338565
511,4890.0,1.07951338565
512,4880.0,1.07951338565
513,4870.0,1.07951338565
514,4860.0,1.07951338565
515,4850.0,1.07951338565
516,4840.0,1.07951338565
517,4830.0,1.07951338565
518,4820.0,1.07951338565
519,4810.0,1.07951338565
520,4800.0,1.07951338565
521,4790.0,1.07951338565
522,4780.0,1.07951338565
523,4770.0,1.07951338565
524,4760.0,1.07951338565
525,4750.0,1.07951338565
526,4740.0,1.07951338565
527,4730.0,1.07951338565
528,4720.0,1.07951338565
529,4710.0,1.07951338565
530,4700.0,1.07951338565
